Gender,Annual Income,Company,Model,Transmission,Color,Price ($)
Male,13500,Ford,Expedition,Auto,Black,26000
Male,1480000,Dodge,Durango,Auto,Black,19000
Male,1035000,Cadillac,Eldorado,Manual,Red,31500
Male,13500,Toyota,Celica,Manual,Pale White,14000
Male,1465000,Acura,TL,Auto,Red,24500
Male,850000,Mitsubishi,Diamante,Manual,Pale White,12000
Male,1600000,Toyota,Corolla,Manual,Pale White,14000
Male,13500,Mitsubishi,Galant,Auto,Pale White,42000
Male,815000,Chevrolet,Malibu,Manual,Pale White,82000
Female,13500,Ford,Escort,Auto,Pale White,15000
Male,13500,Acura,RL,Manual,Pale White,31000
Male,13500,Nissan,Pathfinder,Auto,Pale White,46000
Male,885000,Mercury,Grand Marquis,Auto,Black,9000
Male,13500,BMW,323i,Auto,Pale White,15000
Male,722000,Chrysler,Sebring Coupe,Manual,Pale White,26000
Male,746000,Subaru,Forester,Manual,Pale White,17000
Female,535000,Hyundai,Accent,Manual,Black,18000
Female,570000,Cadillac,Eldorado,Auto,Pale White,31000
Male,685000,Toyota,Land Cruiser,Auto,Pale White,33000
Male,455000,Honda,Accord,Auto,Pale White,21000
Male,13500,Toyota,4Runner,Manual,Black,25000
Male,2500000,Infiniti,I30,Auto,Black,21000
Male,585000,Audi,A4,Manual,Pale White,12000
Male,920000,Porsche,Carrera Cabrio,Auto,Pale White,18000
Male,672000,Volkswagen,Jetta,Auto,Pale White,22000
Male,801250,Dodge,Viper,Auto,Pale White,31250
Female,820000,Buick,Regal,Auto,Black,19000
Male,791000,Chrysler,LHS,Manual,Pale White,41000
Male,13500,Chrysler,LHS,Manual,Pale White,41000
Male,1020000,Saturn,LW,Manual,Pale White,13000
Male,210000,Mitsubishi,3000GT,Manual,Pale White,20000
Male,750000,Mercedes-B,SLK230,Manual,Pale White,14000
Male,635000,Honda,Accord,Auto,Pale White,19000
Male,675000,Honda,Civic,Manual,Black,43000
Male,880000,Jaguar,S-Type,Auto,Black,16000
Male,13500,Volvo,S40,Auto,Pale White,42000
Male,13500,Mercury,Mountaineer,Auto,Pale White,21000
Male,13500,Buick,Park Avenue,Auto,Black,61000
Male,941000,Mitsubishi,Montero Sport,Auto,Pale White,39000
Female,13500,Nissan,Sentra,Auto,Black,16000
Male,13500,Chrysler,Sebring Coupe,Manual,Pale White,26000
Female,13500,Volvo,S80,Manual,Pale White,21000
Male,967500,Chevrolet,Lumina,Manual,Black,42500
Male,600000,Mitsubishi,Montero Sport,Auto,Black,45001
Male,575000,Pontiac,Bonneville,Manual,Black,36001
Male,566000,Mercedes-B,C-Class,Manual,Pale White,12000
Male,1250000,BMW,323i,Manual,Pale White,21001
Male,730000,Acura,TL,Auto,Pale White,29000
Male,4060000,Nissan,Altima,Auto,Pale White,20000
Male,13500,Cadillac,DeVille,Auto,Pale White,22000
Male,1180000,Dodge,Stratus,Auto,Pale White,31000
Male,1360000,Audi,A4,Auto,Black,27000
Female,640000,Mercury,Cougar,Auto,Black,33000
Male,615000,Chevrolet,Malibu,Manual,Pale White,14000
Male,520000,Acura,RL,Manual,Pale White,17000
Male,1876000,Saturn,SW,Auto,Pale White,25600
Male,13500,Volvo,C70,Manual,Black,17000
Male,13500,Mercury,Mountaineer,Manual,Pale White,21000
Male,890000,Mercedes-B,C-Class,Manual,Pale White,12000
Male,1800000,Mercedes-B,SLK,Manual,Pale White,17000
Male,1330000,Toyota,Tacoma,Manual,Black,36000
Male,393000,Mercedes-B,C-Class,Manual,Pale White,17000
Male,440000,Mercedes-B,M-Class,Manual,Pale White,41000
Female,280000,Audi,A6,Auto,Black,14000
Male,1151000,Dodge,Intrepid,Auto,Pale White,31100
Male,1650000,Buick,Park Avenue,Auto,Black,61000
Male,13500,Dodge,Viper,Manual,Black,26000
Male,895000,Toyota,Sienna,Manual,Black,12000
Female,660000,Volvo,S40,Auto,Pale White,42000
Male,13500,Mitsubishi,Diamante,Auto,Pale White,21000
Male,1636000,Cadillac,DeVille,Auto,Pale White,22600
Female,1000000,Jaguar,S-Type,Manual,Pale White,45000
Female,745000,Mitsubishi,Eclipse,Manual,Black,25000
Male,300000,Ford,Contour,Auto,Pale White,62000
Male,1097000,Volkswagen,Jetta,Auto,Black,22700
Female,542000,Mitsubishi,Montero Sport,Auto,Black,45000
Male,1200000,Lincoln,Town car,Manual,Black,17000
Male,490000,Ford,Focus,Manual,Black,49000
Male,410000,Audi,A6,Manual,Black,15000
Male,930000,Acura,TL,Auto,Black,28000
Male,480000,Nissan,Pathfinder,Auto,Pale White,46000
Female,1360000,Ford,Mustang,Manual,Pale White,43000
Male,2200000,Oldsmobile,Cutlass,Auto,Pale White,41000
Female,1100000,Chevrolet,Corvette,Auto,Pale White,45000
Male,13500,Chevrolet,Impala,Manual,Pale White,22001
Male,1700000,Volkswagen,Cabrio,Manual,Pale White,25001
Male,1908000,Dodge,Dakota,Manual,Pale White,12800
Male,13500,Chrysler,300M,Auto,Black,26000
Male,13500,BMW,328i,Auto,Black,18000
Male,2550000,Oldsmobile,Bravada,Auto,Pale White,19000
Male,1245000,Nissan,Maxima,Manual,Pale White,22500
Male,13500,Dodge,Ram Pickup,Manual,Pale White,21001
Male,1115000,Chrysler,Concorde,Auto,Pale White,46500
Male,13500,Chrysler,300M,Auto,Pale White,16000
Male,2110000,Volvo,V70,Auto,Black,39000
Female,13500,Nissan,Quest,Manual,Black,19000
Male,1050000,Chrysler,LHS,Auto,Black,26000
Male,13500,Honda,Accord,Manual,Black,43000
Female,13500,Nissan,Maxima,Manual,Pale White,54000
Male,320000,Dodge,Durango,Auto,Pale White,22000
Male,13500,Lexus,ES300,Auto,Black,16001
Female,760000,BMW,328i,Auto,Black,16001
Male,1390000,Toyota,Land Cruiser,Auto,Pale White,12000
Male,659000,Mercedes-B,SL-Class,Manual,Black,38000
Male,1330000,Ford,Explorer,Auto,Pale White,42000
Male,13500,Nissan,Pathfinder,Auto,Pale White,21000
Female,13500,Volvo,C70,Auto,Black,49000
Male,1362000,Chevrolet,Prizm,Manual,Pale White,21200
Male,480000,Mercury,Grand Marquis,Manual,Pale White,71000
Female,365000,Chevrolet,Camaro,Auto,Pale White,17000
Female,481000,Subaru,Outback,Auto,Pale White,57001
Male,700000,Buick,Park Avenue,Auto,Pale White,62001
Male,1350000,Ford,Taurus,Manual,Black,69001
Male,750000,Chevrolet,Cavalier,Manual,Pale White,20001
Male,451000,Audi,A4,Auto,Black,27000
Female,650000,Ford,Focus,Manual,Black,49000
Male,700000,Mitsubishi,Diamante,Manual,Black,49000
Female,13500,Lexus,GS400,Auto,Black,12000
Female,1220000,Mercedes-B,M-Class,Manual,Pale White,25000
Male,1300000,Chrysler,Concorde,Auto,Pale White,42000
Male,470000,Chrysler,Sebring Coupe,Auto,Pale White,19000
Female,1167500,Chevrolet,Monte Carlo,Manual,Pale White,26750
Male,3000000,Cadillac,Eldorado,Auto,Pale White,31000
Male,1900000,Saturn,LW,Manual,Pale White,49000
Female,1690000,Hyundai,Sonata,Manual,Black,15000
Male,2800000,Mercury,Sable,Auto,Pale White,26000
Male,642000,Mercedes-B,SL-Class,Manual,Pale White,17000
Female,705000,Volvo,C70,Manual,Pale White,24000
Male,670000,Chevrolet,Metro,Auto,Pale White,19000
Male,13500,Jaguar,S-Type,Manual,Pale White,20000
Female,1985000,Acura,TL,Auto,Black,28501
Male,1275000,BMW,323i,Auto,Pale White,15500
Male,13500,Plymouth,Voyager,Manual,Pale White,20000
Male,1650000,Nissan,Maxima,Manual,Pale White,29000
Male,520500,Chrysler,Cirrus,Auto,Pale White,12500
Female,500000,Mercury,Grand Marquis,Manual,Pale White,16001
Male,1172500,Lexus,ES300,Auto,Pale White,27250
Male,441000,Dodge,Intrepid,Manual,Black,11000
Male,1310000,Nissan,Maxima,Manual,Pale White,22001
Male,13500,Dodge,Avenger,Auto,Pale White,22000
Male,1200000,Chevrolet,Corvette,Manual,Pale White,22000
Male,1680000,Acura,RL,Manual,Black,18000
Male,1340000,Honda,Odyssey,Manual,Pale White,27000
Female,901000,Oldsmobile,Intrigue,Manual,Pale White,25000
Female,849500,Acura,RL,Manual,Pale White,26500
Male,13500,Ford,Taurus,Manual,Black,69000
Female,1071500,Oldsmobile,Silhouette,Manual,Pale White,14150
Male,1740000,Saab,5-Sep,Manual,Pale White,28000
Male,13500,Honda,Civic,Manual,Black,43000
Male,1700000,BMW,528i,Manual,Pale White,25000
Male,1100000,Oldsmobile,Silhouette,Auto,Pale White,12000
Male,13500,Lexus,LS400,Auto,Black,39000
Male,2155000,Cadillac,Eldorado,Auto,Black,60500
Male,13500,Volkswagen,Jetta,Auto,Pale White,16000
Male,13500,Pontiac,Bonneville,Auto,Pale White,19000
Male,661000,Chevrolet,Monte Carlo,Manual,Black,44000
Female,13500,Oldsmobile,Aurora,Manual,Pale White,71000
Male,13500,Ford,Mustang,Manual,Pale White,25000
Male,2750000,Mitsubishi,Diamante,Auto,Black,18000
Male,13500,Ford,Expedition,Manual,Pale White,22000
Male,13500,Mercedes-B,M-Class,Manual,Pale White,41000
Female,13500,Ford,Focus,Manual,Black,49000
Male,950000,Volkswagen,Jetta,Auto,Pale White,19000
Female,715000,BMW,528i,Manual,Black,21000
Female,13500,Subaru,Forester,Auto,Black,22000
Female,847000,Plymouth,Breeze,Manual,Pale White,16000
Female,13500,Volkswagen,Beetle,Auto,Pale White,45000
Male,1176500,Dodge,Intrepid,Manual,Black,11650
Male,955000,Hyundai,Elantra,Manual,Pale White,26000
Male,800000,Saturn,SW,Manual,Black,36000
Male,13500,Lincoln,Continental,Manual,Pale White,82000
Female,13500,Chevrolet,Camaro,Auto,Pale White,24000
Male,626800,Nissan,Pathfinder,Manual,Pale White,11800
Male,2115000,Toyota,RAV4,Auto,Pale White,27500
Male,2810000,Mercury,Villager,Auto,Pale White,36000
Male,13500,Jaguar,S-Type,Manual,Pale White,20000
Male,13500,Mercedes-B,SLK,Manual,Pale White,17000
Male,1589000,Volkswagen,Jetta,Auto,Pale White,16900
Male,1385000,Buick,Regal,Auto,Pale White,46500
Male,2000000,Mercedes-B,C-Class,Auto,Black,14000
Male,951000,Toyota,Sienna,Manual,Black,16000
Male,1390000,Volvo,S70,Manual,Black,22000
Male,2320000,Nissan,Altima,Auto,Pale White,20000
Female,2752000,Toyota,Celica,Manual,Pale White,14200
Male,655000,Saturn,LS,Auto,Pale White,51000
Male,890000,Mitsubishi,Diamante,Manual,Pale White,19000
Male,1330000,Lexus,GS400,Auto,Pale White,31000
Male,13500,Porsche,Carrera Cabrio,Auto,Pale White,32000
Male,900000,Dodge,Ram Van,Auto,Pale White,31000
Male,570000,Oldsmobile,Silhouette,Manual,Pale White,14000
Male,715000,Audi,A6,Manual,Black,25000
Female,630000,Oldsmobile,Cutlass,Auto,Pale White,46000
Female,700500,Mercedes-B,S-Class,Auto,Black,39500
Male,2130000,Mitsubishi,3000GT,Auto,Black,39000
Male,13500,BMW,528i,Auto,Black,31000
Male,2950000,Chevrolet,Malibu,Manual,Pale White,41000
Male,2150000,Chrysler,300M,Auto,Pale White,22000
Female,1700000,Ford,Mustang,Manual,Black,22000
Male,13500,Dodge,Viper,Auto,Pale White,41000
Male,1540000,Jaguar,S-Type,Manual,Pale White,21000
Male,1300000,Mercedes-B,SLK,Manual,Black,26000
Male,960000,Mercedes-B,E-Class,Auto,Pale White,31000
Male,13500,Pontiac,Grand Am,Auto,Pale White,19000
Male,1810000,Saturn,LW,Manual,Pale White,13000
Male,1130000,Saturn,SC,Auto,Black,33000
Male,1090000,Mercury,Sable,Manual,Pale White,61000
Male,500000,Toyota,Land Cruiser,Auto,Black,21000
Female,1700000,Nissan,Maxima,Manual,Pale White,16000
Male,860000,Oldsmobile,Bravada,Auto,Pale White,15000
Male,13500,Volkswagen,Passat,Manual,Pale White,27000
Male,2035000,Volkswagen,Passat,Auto,Pale White,13500
Male,1372500,Nissan,Xterra,Auto,Black,9250
Male,1800000,Ford,Mustang,Auto,Pale White,31000
Male,1250000,Volkswagen,Passat,Auto,Pale White,32000
Male,1175000,Volvo,S40,Auto,Pale White,29500
Male,1100000,Mercury,Villager,Manual,Pale White,14000
Male,1315000,Nissan,Frontier,Auto,Pale White,18501
Female,480000,Acura,RL,Manual,Pale White,17001
Female,423500,Mitsubishi,Montero Sport,Manual,Pale White,12500
Female,13500,BMW,528i,Manual,Black,21000
Male,13500,BMW,528i,Auto,Pale White,62000
Male,653000,Ford,Crown Victoria,Auto,Black,11000
Male,13500,Nissan,Frontier,Manual,Pale White,20000
Male,2862000,Honda,Accord,Auto,Pale White,21200
Male,2180000,Toyota,Camry,Manual,Black,29000
Male,13500,Cadillac,Eldorado,Auto,Pale White,17000
Male,1500000,Lexus,ES300,Auto,Pale White,27000
Male,1190000,Volvo,S40,Manual,Black,36000
Female,920000,Lincoln,Navigator,Auto,Black,19000
Male,320000,Nissan,Frontier,Auto,Pale White,18000
Male,690000,Chevrolet,Prizm,Auto,Pale White,15000
Male,13500,Toyota,Tacoma,Manual,Pale White,24000
Male,905000,Nissan,Sentra,Auto,Black,16000
Male,13500,Ford,Crown Victoria,Auto,Pale White,29000
Female,1180000,Pontiac,Bonneville,Auto,Pale White,19000
Male,800000,Mercedes-B,CL500,Manual,Black,22000
Male,1225000,Dodge,Viper,Auto,Pale White,23500
Female,1200000,Mitsubishi,Galant,Auto,Pale White,36000
Male,13500,Pontiac,Bonneville,Auto,Pale White,19000
Male,1350000,Toyota,Tacoma,Auto,Pale White,53000
Male,426000,Cadillac,Escalade,Auto,Black,28000
Male,1447500,Oldsmobile,Silhouette,Auto,Black,60750
Male,770000,Chevrolet,Prizm,Auto,Pale White,42000
Male,1610000,Cadillac,Eldorado,Manual,Pale White,31000
Female,1540000,Ford,Contour,Auto,Pale White,62000
Male,1285000,Mercedes-B,S-Class,Auto,Black,39500
Male,1400000,Toyota,Tacoma,Manual,Pale White,24001
Male,1200000,Mercedes-B,C-Class,Auto,Pale White,15000
Male,1720000,Nissan,Quest,Manual,Black,19000
Female,600000,Volkswagen,Golf,Auto,Pale White,35000
Male,457000,Hyundai,Sonata,Manual,Pale White,21000
Male,2450000,Nissan,Altima,Auto,Pale White,20000
Male,1975000,Ford,Ranger,Manual,Black,18500
Female,860000,Chevrolet,Corvette,Auto,Pale White,45000
Male,944000,Oldsmobile,Silhouette,Auto,Pale White,12000
Male,1135000,Chevrolet,Prizm,Manual,Pale White,21500
Female,2210000,Volvo,S40,Manual,Pale White,17000
Male,316000,Chevrolet,Corvette,Auto,Pale White,46000
Male,1151000,Toyota,Corolla,Auto,Pale White,41100
Male,1385000,Toyota,RAV4,Manual,Pale White,22500
Female,700000,Mercury,Grand Marquis,Auto,Black,9000
Male,1542000,Chevrolet,Cavalier,Manual,Pale White,20200
Female,962000,Nissan,Maxima,Manual,Pale White,59000
Male,1290000,Volvo,S70,Manual,Black,22000
Male,2250000,Subaru,Outback,Auto,Pale White,57000
Female,2155000,Chevrolet,Corvette,Auto,Pale White,25500
Male,13500,Acura,RL,Manual,Black,18000
Female,13500,Honda,Odyssey,Manual,Pale White,27000
Female,807000,Toyota,RAV4,Manual,Pale White,22000
Female,825000,Toyota,Tacoma,Manual,Pale White,82000
Female,720000,Plymouth,Prowler,Auto,Pale White,15000
Female,850000,Toyota,Camry,Auto,Pale White,31000
Male,1130000,Volkswagen,Passat,Auto,Pale White,13000
Male,13500,Volkswagen,Cabrio,Auto,Pale White,17000
Male,1370000,Chrysler,Sebring Coupe,Auto,Pale White,46000
Male,1311000,Ford,Windstar,Auto,Pale White,19100
Female,1280000,Dodge,Durango,Auto,Pale White,10000
Male,2000000,Lincoln,Continental,Manual,Black,42000
Female,13500,Mitsubishi,Diamante,Auto,Black,18000
Male,650000,Toyota,Celica,Auto,Pale White,25000
Male,1290000,Volkswagen,Jetta,Auto,Black,22000
Male,13500,Volkswagen,GTI,Manual,Black,25000
Female,911000,Buick,Park Avenue,Manual,Pale White,23000
Male,1150000,Volkswagen,Jetta,Auto,Pale White,33000
Male,655000,Oldsmobile,Silhouette,Manual,Pale White,25000
Male,470000,Honda,Accord,Manual,Black,43000
Male,1180000,BMW,328i,Manual,Pale White,21001
Male,1195000,Pontiac,Bonneville,Manual,Pale White,11501
Female,1420000,Volkswagen,Passat,Auto,Pale White,32000
Male,13500,Hyundai,Sonata,Manual,Black,20000
Male,13500,Volkswagen,Passat,Auto,Black,9000
Male,916000,Ford,Crown Victoria,Auto,Pale White,29000
Female,592000,Mercedes-B,C-Class,Manual,Pale White,17000
Male,750000,Honda,Passport,Manual,Pale White,27000
Male,1900000,Honda,Odyssey,Manual,Pale White,54000
Female,1410000,Mercury,Cougar,Auto,Black,33000
Male,1125000,Honda,Passport,Manual,Pale White,27500
Female,580000,Toyota,Celica,Manual,Pale White,14000
Male,710000,Chevrolet,Camaro,Auto,Black,41000
Female,335000,Ford,Taurus,Manual,Pale White,22000
Female,13500,Ford,Focus,Manual,Pale White,24000
Male,1012500,Porsche,Boxter,Manual,Pale White,24250
Female,970000,Oldsmobile,Intrigue,Manual,Pale White,37000
Female,1495000,Lexus,LX470,Manual,Pale White,54500
Male,13500,Chrysler,Sebring Coupe,Auto,Pale White,46000
Male,13500,Dodge,Stratus,Manual,Pale White,37000
Female,922000,Dodge,Viper,Manual,Black,26000
Female,1130000,Nissan,Pathfinder,Auto,Pale White,21000
Female,13500,Toyota,Corolla,Auto,Pale White,41000
Male,1090000,Nissan,Quest,Manual,Black,12000
Male,630100,Dodge,Stratus,Manual,Pale White,25100
Male,1350000,Toyota,Camry,Manual,Black,34000
Male,1330000,Oldsmobile,Aurora,Manual,Pale White,34000
Female,591000,Mitsubishi,Montero Sport,Auto,Pale White,39000
Male,13500,Mercury,Cougar,Auto,Black,33000
Male,1030000,Lincoln,Navigator,Manual,Pale White,33000
Female,13500,Acura,RL,Manual,Black,18000
Female,927000,Honda,Accord,Auto,Pale White,21000
Male,840000,Mitsubishi,Montero Sport,Auto,Pale White,39000
Male,730000,Mercedes-B,M-Class,Manual,Pale White,25000
Male,770000,Nissan,Pathfinder,Auto,Pale White,46000
Female,1125000,Chevrolet,Metro,Manual,Pale White,13500
Female,995000,Dodge,Dakota,Auto,Pale White,21000
Male,13500,Hyundai,Sonata,Manual,Pale White,13000
Female,13500,Ford,Taurus,Manual,Black,43000
Male,1100000,Toyota,RAV4,Manual,Pale White,22000
Male,13500,Porsche,Boxter,Auto,Black,26000
Female,13500,Honda,CR-V,Auto,Pale White,12000
Male,910000,Toyota,Corolla,Manual,Pale White,22000
Male,1859000,Nissan,Pathfinder,Auto,Pale White,21900
Male,13500,Volkswagen,Beetle,Auto,Pale White,45000
Male,1200000,Plymouth,Prowler,Manual,Pale White,71000
Male,13500,Saturn,LW,Manual,Pale White,13000
Male,1660000,Mercury,Villager,Manual,Pale White,14000
Male,13500,Chevrolet,Metro,Manual,Pale White,13000
Female,13500,Saab,5-Sep,Manual,Pale White,28000
Male,905000,Mercedes-B,SLK230,Manual,Pale White,14000
Male,13500,Nissan,Xterra,Manual,Pale White,31000
Male,1152000,Ford,Crown Victoria,Auto,Pale White,29200
Male,550000,Chevrolet,Lumina,Manual,Black,42000
Female,13500,Ford,Ranger,Manual,Black,18000
Male,936000,Audi,A6,Manual,Pale White,13000
Female,580000,Cadillac,Eldorado,Manual,Black,85000
Male,1900000,Pontiac,Sunfire,Manual,Pale White,43000
Male,1605000,Buick,Regal,Manual,Pale White,43500
Male,13500,Toyota,Tacoma,Manual,Black,36000
Male,603000,Infiniti,I30,Manual,Pale White,16000
Male,700000,Ford,Windstar,Auto,Pale White,31000
